experiment_resnet18_lr1e-05_outfeatures128_threshold0.4
Train: [0/49632 (0%)]	Loss: 0.339465
Train: [32/49632 (0%)]	Loss: 0.440351
Train: [64/49632 (0%)]	Loss: 0.408178
Train: [96/49632 (0%)]	Loss: 0.295939
Train: [128/49632 (0%)]	Loss: 0.273642
Train: [160/49632 (0%)]	Loss: 0.292854
Train: [192/49632 (0%)]	Loss: 0.395509
Train: [224/49632 (0%)]	Loss: 0.261883
Train: [256/49632 (1%)]	Loss: 0.400225
Train: [288/49632 (1%)]	Loss: 0.294158
Train: [320/49632 (1%)]	Loss: 0.259885
Train: [352/49632 (1%)]	Loss: 0.284879
Train: [384/49632 (1%)]	Loss: 0.385410
Train: [416/49632 (1%)]	Loss: 0.420986
Train: [448/49632 (1%)]	Loss: 0.275854
Train: [480/49632 (1%)]	Loss: 0.356615
Train: [512/49632 (1%)]	Loss: 0.240386
Train: [544/49632 (1%)]	Loss: 0.225295
Train: [576/49632 (1%)]	Loss: 0.204973
Train: [608/49632 (1%)]	Loss: 0.193238
Train: [640/49632 (1%)]	Loss: 0.273837
Train: [672/49632 (1%)]	Loss: 0.179990
Train: [704/49632 (1%)]	Loss: 0.203069
Train: [736/49632 (1%)]	Loss: 0.269845
Train: [768/49632 (2%)]	Loss: 0.209965
Train: [800/49632 (2%)]	Loss: 0.302173
Train: [832/49632 (2%)]	Loss: 0.174671
Train: [864/49632 (2%)]	Loss: 0.183662
Train: [896/49632 (2%)]	Loss: 0.105694
Train: [928/49632 (2%)]	Loss: 0.229717
Train: [960/49632 (2%)]	Loss: 0.162510
Train: [992/49632 (2%)]	Loss: 0.103492
Train: [1024/49632 (2%)]	Loss: 0.170635
Train: [1056/49632 (2%)]	Loss: 0.218463
Train: [1088/49632 (2%)]	Loss: 0.197289
Train: [1120/49632 (2%)]	Loss: 0.177542
Train: [1152/49632 (2%)]	Loss: 0.095271
Train: [1184/49632 (2%)]	Loss: 0.142038
Train: [1216/49632 (2%)]	Loss: 0.237606
Train: [1248/49632 (3%)]	Loss: 0.214057
Train: [1280/49632 (3%)]	Loss: 0.130503
Train: [1312/49632 (3%)]	Loss: 0.089660
Train: [1344/49632 (3%)]	Loss: 0.143070
Train: [1376/49632 (3%)]	Loss: 0.118901
Train: [1408/49632 (3%)]	Loss: 0.074141
Train: [1440/49632 (3%)]	Loss: 0.142052
Train: [1472/49632 (3%)]	Loss: 0.123948
Train: [1504/49632 (3%)]	Loss: 0.076730
Train: [1536/49632 (3%)]	Loss: 0.067528
